PARK,Fields,Club,Location address 1,Alternative address #2,,,Location Map,Field Map,,,,
JR GERRITTS MS - JR HIGH,JR Gerritts MS - JR HIGH,John St at Kennedy Ave,"Kimberly, WI",WI,,,54136,�,,,,
Just for Kids (LaCrosse),#10,WI Rush WEST,"2500 Hauser St,, 
",La Crosse,WI,54601,"https://www.google.com/maps/dir//WI+RUSH+WEST/@43.6296947,-91.980767,7z/data=!4m8!4m7!1m0!1m5!1m1!1s0x87f95357ce0dcc01:0xca92a3aea0ac8e38!2m2!1d-91.219709!2d43.86075",,,,,
Justice Center,#6,Port Washington SC,1125 Spring St. ,La Crosse,WI,54601,"https://www.google.com/maps/dir//Ozaukee+County+Justice+Center,+1201+S+Spring+St,+Port+Washington,+WI+53074/@43.373699,-87.8980781,15z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8804e976bd99b865:0xf519c8c8e4474f74!2m2!1d-87.8980781!2d43.373699!3e0",,,,,
Kadish Park,,MIlw. Simbas,"750 E North Avenue,",Milwaukee,WI,53212,"https://www.google.com/maps/dir//Kadish+Park,+750+E+North+Ave,+Milwaukee,+WI+53212/@43.1844107,-88.2140271,11z/data=!4m9!4m8!1m0!1m5!1m1!1s0x880519228bdc9ff9:0xbed37ef8141820f7!2m2!1d-87.9019304!2d43.0583665!3e0?entry=ttu",,,,,
KAUKAUNA HIGH SCHOOL,Kaukauna High School,,"1701 County Rd CE, Kaukauna",WI,,,54130,"<p>Field is located behind school. Parking is off of Loderbauer Rd., South of County CE.</p>
 
 �",,,,
Kelderman Stadium,Neenah Middle School,Neenah SC,"1275 Tullar Rd, Neenah, WI 54956",Neenah,WI,,,,,,,
KIEL COMPLEX FIELD OF DREAMS,Kiel Complex Field of Dreams,14203 Meggers Road,"14203 Meggers Road, Kiel",WI,,,53042,"<p>County Road AA/East Park Avenue turn North on Meggers Road.&nbsp;&nbsp;<a href=""&quot;https://goo.gl/maps/9EiUbqDgeNL2&quot;"">https://goo.gl/maps/9EiUbqDgeNL2</a></p>
 
 �",,,,
Kiwanis Park,#1,LUFC,"726 Kiwanis Park Drive,",Sheboygan,WI,53081,"https://www.google.com/maps/dir//Kiwanis+Fieldhouse+%E2%80%A2+726+Kiwanis+Park+Drive+Sheboygan,+WI/@43.5317383,-88.2507875,10z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8804a7982af330c7:0x6a1706f95005c2a8!2m2!1d-87.7260121!2d43.7541434",,,,,
Knoch Park,Field A,Eclipse,"724 S West St, Naperville, IL 60540","Naperville, IL 60540",,,,,,,,
Kohler Credit Union Fields,Field Map,PW Breakers,"1125 S. Spring St.,",Port Washington,WI,53074,"https://www.google.com/maps/dir//1125+S+Spring+St,+Port+Washington,+WI+53074/@43.3747014,-87.8971277,745m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x8804e9762ff0b67f:0xb345eee37519f663!2m2!1d-87.8949337!2d43.3746975!3e0",,,,,
